config,family,repeat,fold,repeat_col,seed
chemeleon__rf,tabular,2,0,repeat_2,2740186692
chemeleon__rf,tabular,2,1,repeat_2,3884972972
chemeleon__rf,tabular,2,2,repeat_2,829139639
chemeleon__rf,tabular,2,3,repeat_2,2545567356
chemeleon__rf,tabular,2,4,repeat_2,2718398101
chemeleon__rf,tabular,3,0,repeat_3,176092387
chemeleon__rf,tabular,3,1,repeat_3,3528048386
chemeleon__rf,tabular,3,2,repeat_3,569531098
chemeleon__rf,tabular,3,3,repeat_3,1337295874
chemeleon__rf,tabular,3,4,repeat_3,612016888
chemeleon__rf,tabular,4,0,repeat_4,232150720
chemeleon__rf,tabular,4,1,repeat_4,2324106676
chemeleon__rf,tabular,4,2,repeat_4,1658700540
chemeleon__rf,tabular,4,3,repeat_4,609942288
chemeleon__rf,tabular,4,4,repeat_4,3405943863
chemeleon__xgboost,tabular,0,0,repeat_0,2684470948
chemeleon__xgboost,tabular,0,1,repeat_0,4091952314
chemeleon__xgboost,tabular,0,2,repeat_0,233227757
chemeleon__xgboost,tabular,0,3,repeat_0,3276785861
chemeleon__xgboost,tabular,0,4,repeat_0,3644269654
chemeleon__xgboost,tabular,1,0,repeat_1,1206282609
chemeleon__xgboost,tabular,1,1,repeat_1,3543069911
chemeleon__xgboost,tabular,1,2,repeat_1,3479688010
chemeleon__xgboost,tabular,1,3,repeat_1,877132087
chemeleon__xgboost,tabular,1,4,repeat_1,1244265337
chemeleon__xgboost,tabular,2,0,repeat_2,2740186692
chemeleon__xgboost,tabular,2,1,repeat_2,3884972972
chemeleon__xgboost,tabular,2,2,repeat_2,829139639
chemeleon__xgboost,tabular,2,3,repeat_2,2545567356
chemeleon__xgboost,tabular,2,4,repeat_2,2718398101
chemeleon__xgboost,tabular,3,0,repeat_3,176092387
chemeleon__xgboost,tabular,3,1,repeat_3,3528048386
chemeleon__xgboost,tabular,3,2,repeat_3,569531098
chemeleon__xgboost,tabular,3,3,repeat_3,1337295874
chemeleon__xgboost,tabular,3,4,repeat_3,612016888
chemeleon__xgboost,tabular,4,0,repeat_4,232150720
chemeleon__xgboost,tabular,4,1,repeat_4,2324106676
chemeleon__xgboost,tabular,4,2,repeat_4,1658700540
chemeleon__xgboost,tabular,4,3,repeat_4,609942288
chemeleon__xgboost,tabular,4,4,repeat_4,3405943863
chemeleon__lightgbm,tabular,0,0,repeat_0,2684470948
chemeleon__lightgbm,tabular,0,1,repeat_0,4091952314
chemeleon__lightgbm,tabular,0,2,repeat_0,233227757
chemeleon__lightgbm,tabular,0,3,repeat_0,3276785861
chemeleon__lightgbm,tabular,0,4,repeat_0,3644269654
chemeleon__lightgbm,tabular,1,0,repeat_1,1206282609
chemeleon__lightgbm,tabular,1,1,repeat_1,3543069911
chemeleon__lightgbm,tabular,1,2,repeat_1,3479688010
chemeleon__lightgbm,tabular,1,3,repeat_1,877132087
chemeleon__lightgbm,tabular,1,4,repeat_1,1244265337
chemeleon__lightgbm,tabular,2,0,repeat_2,2740186692
chemeleon__lightgbm,tabular,2,1,repeat_2,3884972972
chemeleon__lightgbm,tabular,2,2,repeat_2,829139639
chemeleon__lightgbm,tabular,2,3,repeat_2,2545567356
chemeleon__lightgbm,tabular,2,4,repeat_2,2718398101
chemeleon__lightgbm,tabular,3,0,repeat_3,176092387
chemeleon__lightgbm,tabular,3,1,repeat_3,3528048386
chemeleon__lightgbm,tabular,3,2,repeat_3,569531098
chemeleon__lightgbm,tabular,3,3,repeat_3,1337295874
chemeleon__lightgbm,tabular,3,4,repeat_3,612016888
chemeleon__lightgbm,tabular,4,0,repeat_4,232150720
chemeleon__lightgbm,tabular,4,1,repeat_4,2324106676
chemeleon__lightgbm,tabular,4,2,repeat_4,1658700540
chemeleon__lightgbm,tabular,4,3,repeat_4,609942288
chemeleon__lightgbm,tabular,4,4,repeat_4,3405943863
mordred_pca__rf,tabular,0,0,repeat_0,2684470948
mordred_pca__rf,tabular,0,1,repeat_0,4091952314
mordred_pca__rf,tabular,0,2,repeat_0,233227757
mordred_pca__rf,tabular,0,3,repeat_0,3276785861
mordred_pca__rf,tabular,0,4,repeat_0,3644269654
mordred_pca__rf,tabular,1,0,repeat_1,1206282609
mordred_pca__rf,tabular,1,1,repeat_1,3543069911
mordred_pca__rf,tabular,1,2,repeat_1,3479688010
mordred_pca__rf,tabular,1,3,repeat_1,877132087
mordred_pca__rf,tabular,1,4,repeat_1,1244265337
mordred_pca__rf,tabular,2,0,repeat_2,2740186692
mordred_pca__rf,tabular,2,1,repeat_2,3884972972
mordred_pca__rf,tabular,2,2,repeat_2,829139639
mordred_pca__rf,tabular,2,3,repeat_2,2545567356
mordred_pca__rf,tabular,2,4,repeat_2,2718398101
mordred_pca__rf,tabular,3,0,repeat_3,176092387
mordred_pca__rf,tabular,3,1,repeat_3,3528048386
mordred_pca__rf,tabular,3,2,repeat_3,569531098
mordred_pca__rf,tabular,3,3,repeat_3,1337295874
mordred_pca__rf,tabular,3,4,repeat_3,612016888
mordred_pca__rf,tabular,4,0,repeat_4,232150720
mordred_pca__rf,tabular,4,1,repeat_4,2324106676
mordred_pca__rf,tabular,4,2,repeat_4,1658700540
mordred_pca__rf,tabular,4,3,repeat_4,609942288
mordred_pca__rf,tabular,4,4,repeat_4,3405943863
mordred_pca__xgboost,tabular,0,0,repeat_0,2684470948
mordred_pca__xgboost,tabular,0,1,repeat_0,4091952314
mordred_pca__xgboost,tabular,0,2,repeat_0,233227757
mordred_pca__xgboost,tabular,0,3,repeat_0,3276785861
mordred_pca__xgboost,tabular,0,4,repeat_0,3644269654
mordred_pca__xgboost,tabular,1,0,repeat_1,1206282609
mordred_pca__xgboost,tabular,1,1,repeat_1,3543069911
mordred_pca__xgboost,tabular,1,2,repeat_1,3479688010
mordred_pca__xgboost,tabular,1,3,repeat_1,877132087
mordred_pca__xgboost,tabular,1,4,repeat_1,1244265337
mordred_pca__xgboost,tabular,2,0,repeat_2,2740186692
mordred_pca__xgboost,tabular,2,1,repeat_2,3884972972
mordred_pca__xgboost,tabular,2,2,repeat_2,829139639
mordred_pca__xgboost,tabular,2,3,repeat_2,2545567356
mordred_pca__xgboost,tabular,2,4,repeat_2,2718398101
mordred_pca__xgboost,tabular,3,0,repeat_3,176092387
mordred_pca__xgboost,tabular,3,1,repeat_3,3528048386
mordred_pca__xgboost,tabular,3,2,repeat_3,569531098
mordred_pca__xgboost,tabular,3,3,repeat_3,1337295874
mordred_pca__xgboost,tabular,3,4,repeat_3,612016888
mordred_pca__xgboost,tabular,4,0,repeat_4,232150720
mordred_pca__xgboost,tabular,4,1,repeat_4,2324106676
mordred_pca__xgboost,tabular,4,2,repeat_4,1658700540
mordred_pca__xgboost,tabular,4,3,repeat_4,609942288
mordred_pca__xgboost,tabular,4,4,repeat_4,3405943863
mordred_pca__lightgbm,tabular,0,0,repeat_0,2684470948
mordred_pca__lightgbm,tabular,0,1,repeat_0,4091952314
mordred_pca__lightgbm,tabular,0,2,repeat_0,233227757
mordred_pca__lightgbm,tabular,0,3,repeat_0,3276785861
mordred_pca__lightgbm,tabular,0,4,repeat_0,3644269654
mordred_pca__lightgbm,tabular,1,0,repeat_1,1206282609
mordred_pca__lightgbm,tabular,1,1,repeat_1,3543069911
mordred_pca__lightgbm,tabular,1,2,repeat_1,3479688010
mordred_pca__lightgbm,tabular,1,3,repeat_1,877132087
mordred_pca__lightgbm,tabular,1,4,repeat_1,1244265337
mordred_pca__lightgbm,tabular,2,0,repeat_2,2740186692
mordred_pca__lightgbm,tabular,2,1,repeat_2,3884972972
mordred_pca__lightgbm,tabular,2,2,repeat_2,829139639
mordred_pca__lightgbm,tabular,2,3,repeat_2,2545567356
mordred_pca__lightgbm,tabular,2,4,repeat_2,2718398101
mordred_pca__lightgbm,tabular,3,0,repeat_3,176092387
mordred_pca__lightgbm,tabular,3,1,repeat_3,3528048386
mordred_pca__lightgbm,tabular,3,2,repeat_3,569531098
mordred_pca__lightgbm,tabular,3,3,repeat_3,1337295874
mordred_pca__lightgbm,tabular,3,4,repeat_3,612016888
mordred_pca__lightgbm,tabular,4,0,repeat_4,232150720
mordred_pca__lightgbm,tabular,4,1,repeat_4,2324106676
mordred_pca__lightgbm,tabular,4,2,repeat_4,1658700540
mordred_pca__lightgbm,tabular,4,3,repeat_4,609942288
mordred_pca__lightgbm,tabular,4,4,repeat_4,3405943863
chemprop_randominit,chemprop_randominit,0,0,repeat_0,2684470948
chemprop_randominit,chemprop_randominit,0,1,repeat_0,4091952314
chemprop_randominit,chemprop_randominit,0,2,repeat_0,233227757
chemprop_randominit,chemprop_randominit,0,3,repeat_0,3276785861
chemprop_randominit,chemprop_randominit,0,4,repeat_0,3644269654
chemprop_randominit,chemprop_randominit,1,0,repeat_1,1206282609
chemprop_randominit,chemprop_randominit,1,1,repeat_1,3543069911
chemprop_randominit,chemprop_randominit,1,2,repeat_1,3479688010
chemprop_randominit,chemprop_randominit,1,3,repeat_1,877132087
chemprop_randominit,chemprop_randominit,1,4,repeat_1,1244265337
chemprop_randominit,chemprop_randominit,2,0,repeat_2,2740186692
chemprop_randominit,chemprop_randominit,2,1,repeat_2,3884972972
chemprop_randominit,chemprop_randominit,2,2,repeat_2,829139639
chemprop_randominit,chemprop_randominit,2,3,repeat_2,2545567356
chemprop_randominit,chemprop_randominit,2,4,repeat_2,2718398101
chemprop_randominit,chemprop_randominit,3,0,repeat_3,176092387
chemprop_randominit,chemprop_randominit,3,1,repeat_3,3528048386
chemprop_randominit,chemprop_randominit,3,2,repeat_3,569531098
chemprop_randominit,chemprop_randominit,3,3,repeat_3,1337295874
chemprop_randominit,chemprop_randominit,3,4,repeat_3,612016888
chemprop_randominit,chemprop_randominit,4,0,repeat_4,232150720
chemprop_randominit,chemprop_randominit,4,1,repeat_4,2324106676
chemprop_randominit,chemprop_randominit,4,2,repeat_4,1658700540
chemprop_randominit,chemprop_randominit,4,3,repeat_4,609942288
chemprop_randominit,chemprop_randominit,4,4,repeat_4,3405943863
chemprop_chemeleoninit,chemprop_chemeleoninit,0,0,repeat_0,2684470948
chemprop_chemeleoninit,chemprop_chemeleoninit,0,1,repeat_0,4091952314
chemprop_chemeleoninit,chemprop_chemeleoninit,0,2,repeat_0,233227757
chemprop_chemeleoninit,chemprop_chemeleoninit,0,3,repeat_0,3276785861
chemprop_chemeleoninit,chemprop_chemeleoninit,0,4,repeat_0,3644269654
chemprop_chemeleoninit,chemprop_chemeleoninit,1,0,repeat_1,1206282609
chemprop_chemeleoninit,chemprop_chemeleoninit,1,1,repeat_1,3543069911
chemprop_chemeleoninit,chemprop_chemeleoninit,1,2,repeat_1,3479688010
chemprop_chemeleoninit,chemprop_chemeleoninit,1,3,repeat_1,877132087
chemprop_chemeleoninit,chemprop_chemeleoninit,1,4,repeat_1,1244265337
chemprop_chemeleoninit,chemprop_chemeleoninit,2,0,repeat_2,2740186692
chemprop_chemeleoninit,chemprop_chemeleoninit,2,1,repeat_2,3884972972
chemprop_chemeleoninit,chemprop_chemeleoninit,2,2,repeat_2,829139639
chemprop_chemeleoninit,chemprop_chemeleoninit,2,3,repeat_2,2545567356
chemprop_chemeleoninit,chemprop_chemeleoninit,2,4,repeat_2,2718398101
chemprop_chemeleoninit,chemprop_chemeleoninit,3,0,repeat_3,176092387
chemprop_chemeleoninit,chemprop_chemeleoninit,3,1,repeat_3,3528048386
chemprop_chemeleoninit,chemprop_chemeleoninit,3,2,repeat_3,569531098
chemprop_chemeleoninit,chemprop_chemeleoninit,3,3,repeat_3,1337295874
chemprop_chemeleoninit,chemprop_chemeleoninit,3,4,repeat_3,612016888
chemprop_chemeleoninit,chemprop_chemeleoninit,4,0,repeat_4,232150720
chemprop_chemeleoninit,chemprop_chemeleoninit,4,1,repeat_4,2324106676
chemprop_chemeleoninit,chemprop_chemeleoninit,4,2,repeat_4,1658700540
chemprop_chemeleoninit,chemprop_chemeleoninit,4,3,repeat_4,609942288
chemprop_chemeleoninit,chemprop_chemeleoninit,4,4,repeat_4,3405943863
